mock_product_id,online_reference_id,model_risk_score_raw,model_risk_rank_score,night_purchase,source,item_id,category,item_review_count,unique_user_count,fit_signal_count,fit_issue_count,too_small_count,too_large_count,raw_fit_issue_rate,item_fit_issue_score,fit_signal_reliability_weight,length_signal_count,raw_length_issue_rate,item_length_issue_score,length_signal_reliability_weight,review_text_count_fit,raw_review_size_signal_rate,review_size_signal_rate,raw_review_quality_signal_rate,review_quality_signal_rate,review_signal_reliability_weight,quality_signal_count,raw_quality_issue_score,item_quality_issue_score,quality_signal_reliability_weight,has_fit_signal,has_length_signal,has_review_text,has_quality_signal,top_fit_issue,source_item_id,review_text_count_review,unique_review_users,rating_count,avg_rating,review_text_reliability_weight,rating_signal_reliability_weight,review_text_size_issue_score,review_text_quality_issue_score,review_text_color_issue_score,review_text_negative_language_score,rating_issue_score,top_review_text_issue,size_keyword_total,quality_keyword_total,color_keyword_total,raw_review_text_size_issue_rate,raw_review_text_quality_issue_rate,raw_review_text_color_issue_rate,raw_review_text_negative_language_score,raw_rating_issue_score,review_text_size_issue_score_upper_tail_flag,review_text_quality_issue_score_upper_tail_flag,review_text_color_issue_score_upper_tail_flag,review_text_negative_language_score_upper_tail_flag,fashion_signal_reference_id,item_fit_issue_score_availability_weight,item_length_issue_score_availability_weight,item_quality_issue_score_availability_weight,fit_layer_summary_score,fit_signal_available,review_text_summary_score,review_signal_available,rating_signal_available,mock_mapping_type,mock_mapping_note
MP_0000,UCI_REF_073469,0.3800350623543769,0.7984760495991526,0.0,renttherunway,1296975,dress,3,3,3,0.0,0,0,0.0,0.2576241170568787,0.073005676423651,0,,,0.0,3,0.6666666666666666,0.4476181284876727,0.3333333333333333,0.3590988836000537,0.0741807954392701,0,,,0.0,1,0,1,0,mixed_or_none,renttherunway_1296975,3.0,3.0,3.0,10.0,0.0741807954392701,0.0835674491690871,0.3053296981687456,0.0512427230645678,0.004573827504317,0.1326635550718172,0.1039676682062758,review_text_size_issue,2.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.1031746031746031,0.0,0,0,0,0,FASHION_REF_002020,0.073005676423651,0.0,0.0,0.2576241170568787,1,0.18479570151226793,1,1,simulated_cross_source_alignment,UCI transaction reference and fashion signal reference are paired only for MVP cart demo.
MP_0001,UCI_REF_029687,0.0728312800447528,0.042545517631804815,0.0,renttherunway,860350,dress,14,14,14,5.0,5,0,0.3571428571428571,0.2992064293036868,0.2687516931101704,0,,,0.0,14,0.6428571428571429,0.4879783656647057,0.3571428571428571,0.3600691518332551,0.2721525675869749,0,,,0.0,1,0,1,0,too_small,renttherunway_860350,14.0,14.0,14.0,8.857142857142858,0.2721525675869749,0.2985129027555037,0.3761160623558772,0.0791642166360017,0.0035957869408171,0.1774866992044575,0.1222271832628663,review_text_size_issue,11.0,3.0,0.0,0.5714285714285714,0.1428571428571428,0.0,0.2910430839002267,0.1428571428571428,0,0,0,1,FASHION_REF_006956,0.2687516931101704,0.0,0.0,0.2992064293036868,1,0.23278906079156125,1,1,simulated_cross_source_alignment,UCI transaction reference and fashion signal reference are paired only for MVP cart demo.
MP_0002,UCI_REF_032278,0.1790929900022954,0.3725004108913603,0.0,renttherunway,1748585,sheath,33,33,33,16.0,15,1,0.4848484848484848,0.3739690731680736,0.4641827119554429,0,,,0.0,33,0.6666666666666666,0.5409073729244541,0.4848484848484848,0.4191063997356282,0.4684722835109993,0,,,0.0,1,0,1,0,too_small,renttherunway_1748585,33.0,33.0,33.0,8.787878787878787,0.4684722835109993,0.500765220098052,0.4450211635918938,0.0294192726214952,0.0026259080358326,0.1620170686338556,0.1325108298098622,review_text_size_issue,29.0,0.0,0.0,0.6060606060606061,0.0,0.0,0.1926406926406926,0.1515151515151515,1,0,0,0,FASHION_REF_003043,0.4641827119554429,0.0,0.0,0.3739690731680736,1,0.25220098146723446,1,1,simulated_cross_source_alignment,UCI transaction reference and fashion signal reference are paired only for MVP cart demo.
MP_0003,UCI_REF_073856,0.3922682446157089,0.8154276009423108,0.0,renttherunway,2838728,top,5,5,5,1.0,0,1,0.2,0.2688731643732703,0.1160289462362829,0,,,0.0,5,0.2,0.402963113798415,0.6,0.3893003412408818,0.1178085701054595,0,,,0.0,1,0,1,0,too_large,renttherunway_2838728,5.0,5.0,5.0,10.0,0.1178085701054595,0.1319290965675883,0.290941516107949,0.0488279902915491,0.00435829307304,0.1379684533147247,0.0984811239907988,review_text_size_issue,2.0,0.0,0.0,0.2,0.0,0.0,0.16,0.0,0,0,0,0,FASHION_REF_005495,0.1160289462362829,0.0,0.0,0.2688731643732703,1,0.1781187623346441,1,1,simulated_cross_source_alignment,UCI transaction reference and fashion signal reference are paired only for MVP cart demo.
MP_0004,UCI_REF_040910,0.2538221631491669,0.5727277707774064,0.0,renttherunway,1001785,dress,12,12,12,2.0,0,2,0.1666666666666666,0.2512635678183776,0.23955588698318,0,,,0.0,12,0.5833333333333334,0.4672662428283454,0.25,0.3341828895248029,0.2427099338868605,0,,,0.0,1,0,1,0,too_large,renttherunway_1001785,12.0,12.0,12.0,9.5,0.2427099338868605,0.2672656666412853,0.3508789241460973,0.0621407124430849,0.00374124247593,0.1327052152284723,0.0998315312571385,review_text_size_issue,8.0,1.0,0.0,0.5,0.0833333333333333,0.0,0.1254629629629629,0.0625,0,0,0,0,FASHION_REF_001383,0.23955588698318,0.0,0.0,0.2512635678183776,1,0.2061751212110678,1,1,simulated_cross_source_alignment,UCI transaction reference and fashion signal reference are paired only for MVP cart demo.
MP_0005,UCI_REF_089912,0.1554769527979541,0.30101901057360436,0.0,renttherunway,1470980,shift,10,10,10,2.0,0,2,0.2,0.26171270432146,0.2079317864067615,0,,,0.0,10,0.5,0.4448077990991546,0.5,0.3904280043602558,0.2107848754359521,0,,,0.0,1,0,1,0,too_large,renttherunway_1470980,10.0,10.0,10.0,7.8,0.2107848754359521,0.2331048772712783,0.2813569680355637,0.0647603769094483,0.0038989619417829,0.1522348880012872,0.1511067500796939,review_text_size_issue,2.0,1.0,0.0,0.2,0.1,0.0,0.2166666666666666,0.275,0,0,0,0,FASHION_REF_002423,0.2079317864067615,0.0,0.0,0.26171270432146,1,0.18995128499542702,1,1,simulated_cross_source_alignment,UCI transaction reference and fashion signal reference are paired only for MVP cart demo.
MP_0006,UCI_REF_019680,0.1667571676591132,0.3327763472671159,0.0,renttherunway,297536,gown,47,47,47,8.0,5,3,0.1702127659574468,0.2184261442159173,0.5523388342411186,0,,,0.0,47,0.2553191489361702,0.3328028921151894,0.574468085106383,0.4798880791039725,0.5565968124004391,0,,,0.0,1,0,1,0,too_small,renttherunway_297536,47.0,47.0,47.0,9.48936170212766,0.5565968124004391,0.5882415866156052,0.2409716318495835,0.0363841957130004,0.0021905461508621,0.0967801900452703,0.0842606063199332,review_text_size_issue,13.0,1.0,0.0,0.1914893617021276,0.0212765957446808,0.0,0.0663120567375886,0.0638297872340425,0,0,0,0,FASHION_REF_005792,0.5523388342411186,0.0,0.0,0.2184261442159173,1,0.14477204576148195,1,1,simulated_cross_source_alignment,UCI transaction reference and fashion signal reference are paired only for MVP cart demo.
MP_0007,UCI_REF_072596,0.6011816923743705,0.9392017750506766,0.0,renttherunway,583572,dress,12,12,12,5.0,1,4,0.4166666666666667,0.3111525395641726,0.23955588698318,0,,,0.0,12,0.1666666666666666,0.3661371037088202,0.25,0.3341828895248029,0.2427099338868605,0,,,0.0,1,0,1,0,too_large,renttherunway_583572,12.0,12.0,12.0,9.0,0.2427099338868605,0.2672656666412853,0.2902014406743822,0.0419148846191798,0.00374124247593,0.1181458296441216,0.1165356354222188,review_text_size_issue,3.0,0.0,0.0,0.25,0.0,0.0,0.0654761904761904,0.125,0,0,0,0,FASHION_REF_006387,0.23955588698318,0.0,0.0,0.3111525395641726,1,0.17654921057216755,1,1,simulated_cross_source_alignment,UCI transaction reference and fashion signal reference are paired only for MVP cart demo.
MP_0008,UCI_REF_024026,0.7582485766001246,0.9842400336017824,0.0,renttherunway,2054031,jacket,1,1,1,0.0,0,0,0.0,0.2708042836616388,0.0255802266405249,0,,,0.0,1,0.0,0.4188794732051881,0.0,0.3517682508947317,0.0260133946863634,0,,,0.0,1,0,1,0,mixed_or_none,renttherunway_2054031,1.0,1.0,1.0,10.0,0.0260133946863634,0.029499268821542,0.2952016273782458,0.053908717424333,0.0048117890645113,0.1315138488870061,0.1101016085926075,review_text_size_issue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,FASHION_REF_003733,0.0255802266405249,0.0,0.0,0.2708042836616388,1,0.18187798970621327,1,1,simulated_cross_source_alignment,UCI transaction reference and fashion signal reference are paired only for MVP cart demo.
MP_0009,UCI_REF_103055,0.2416848970207882,0.5399523366022024,0.0,modcloth,352119,dresses,8,8,8,4.0,2,2,0.5,0.3164594576747369,0.173563294292798,7,0.1428571428571428,0.2401675814361339,0.1041213341560845,8,0.375,0.4203724551302304,0.5,0.385605477317415,0.1760496197841097,8,0.09375,0.2428891496852662,0.1174437213272164,1,1,1,1,mixed_or_none,modcloth_352119,8.0,8.0,0.0,,0.1760496197841097,0.0,0.2937401648471314,0.0676106368424443,0.0040705646336338,0.1354618289010317,,review_text_size_issue,3.0,1.0,0.0,0.25,0.125,0.0,0.1375,,0,0,0,0,FASHION_REF_000457,0.173563294292798,0.1041213341560845,0.1174437213272164,0.2744883293107395,1,0.20267093075345705,1,0,simulated_cross_source_alignment,UCI transaction reference and fashion signal reference are paired only for MVP cart demo.
MP_0010,UCI_REF_055247,0.1037466487045169,0.1416388173633558,0.0,renttherunway,382292,dress,1,1,1,0.0,0,0,0.0,0.2708042836616388,0.0255802266405249,0,,,0.0,1,0.0,0.4188794732051881,0.0,0.3517682508947317,0.0260133946863634,0,,,0.0,1,0,1,0,mixed_or_none,renttherunway_382292,1.0,1.0,1.0,10.0,0.0260133946863634,0.029499268821542,0.2952016273782458,0.053908717424333,0.0048117890645113,0.1315138488870061,0.1101016085926075,review_text_size_issue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,FASHION_REF_005969,0.0255802266405249,0.0,0.0,0.2708042836616388,1,0.18187798970621327,1,1,simulated_cross_source_alignment,UCI transaction reference and fashion signal reference are paired only for MVP cart demo.
MP_0011,UCI_REF_053556,0.4735393026341846,0.8821517923994229,0.0,renttherunway,2496221,top,5,5,5,1.0,1,0,0.2,0.2688731643732703,0.1160289462362829,0,,,0.0,5,0.2,0.402963113798415,0.4,0.36573862721979,0.1178085701054595,0,,,0.0,1,0,1,0,too_small,renttherunway_2496221,5.0,5.0,5.0,10.0,0.1178085701054595,0.1319290965675883,0.290941516107949,0.0488279902915491,0.00435829307304,0.1191190820978512,0.0984811239907988,review_text_size_issue,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,FASHION_REF_004740,0.1160289462362829,0.0,0.0,0.2688731643732703,1,0.17476550691850218,1,1,simulated_cross_source_alignment,UCI transaction reference and fashion signal reference are paired only for MVP cart demo.
MP_0012,UCI_REF_002405,0.4522786886670651,0.8707746671779981,0.0,renttherunway,2214689,top,9,9,9,3.0,0,3,0.3333333333333333,0.288504815121656,0.1911124429324355,0,,,0.0,9,0.1111111111111111,0.3682561311991068,0.5555555555555556,0.3988348395578273,0.1937912135737289,0,,,0.0,1,0,1,0,too_large,renttherunway_2214689,9.0,9.0,9.0,9.555555555555555,0.1937912135737289,0.2148015176859369,0.2658828896699312,0.0446224634048977,0.0039829157824913,0.1185489843411904,0.1010128105748439,review_text_size_issue,2.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.05,0.0555555555555555,0,0,0,0,FASHION_REF_004084,0.1911124429324355,0.0,0.0,0.288504815121656,1,0.1636767503772654,1,1,simulated_cross_source_alignment,UCI transaction reference and fashion signal reference are paired only for MVP cart demo.
MP_0013,UCI_REF_005375,0.3174474416814524,0.7072718639858289,0.0,renttherunway,1390540,dress,40,39,40,35.0,0,35,0.875,0.5837481885149188,0.5122118011387996,0,,,0.0,40,0.675,0.5565791344698299,0.3,0.3295714108289369,0.5165173597423893,0,,,0.0,1,0,1,0,too_large,renttherunway_1390540,40.0,39.0,40.0,9.2,0.5165173597423893,0.5487032781503541,0.4435342631941781,0.0396729827365556,0.0023885507958536,0.1531830789392644,0.1060691506823617,review_text_size_issue,33.0,1.0,0.0,0.575,0.025,0.0,0.1701785714285714,0.1,1,0,0,0,FASHION_REF_002233,0.5122118011387996,0.0,0.0,0.5837481885149188,1,0.24731716383036434,1,1,simulated_cross_source_alignment,UCI transaction reference and fashion signal reference are paired only for MVP cart demo.
